"HB09100","2023/24","100","2024-04-17 00:00:00","Likvärdiga krav på mål och riktlinjer för utförare av kommunal verksamhet","ärendedebatt","159","Jan Riise (MP)","MP","0184968091618","HB01KU7","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","16","Michael Rubbestad (SD)","SD","0694917698222","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Riksdagens arbetsformer","ärendedebatt","160","Per-Arne Håkansson (S)","S","0630820052511","HB01KU14","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Riksdagens arbetsformer","ärendedebatt","161","Victoria Tiblom (SD)","SD","0985943148917","HB01KU14","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Riksdagens arbetsformer","ärendedebatt","162","Jessica Wetterling (V)","V","0481460392727","HB01KU14","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","163","Adam Marttinen (SD)","SD","0831039938224","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","164","Anna Wallentheim (S)","S","0111479807829","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","165","Adam Marttinen (SD)","SD","0831039938224","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","166","Anna Wallentheim (S)","S","0111479807829","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","167","Adam Marttinen (SD)","SD","0831039938224","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","168","Anna Wallentheim (S)","S","0111479807829","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","169","Mikael Damsgaard (M)","M","066036027425","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","17","Yasmine Bladelius (S)","S","0996640018922","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","170","Rasmus Ling (MP)","MP","0744139167426","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","171","Mikael Damsgaard (M)","M","066036027425","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","172","Rasmus Ling (MP)","MP","0744139167426","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","173","Mikael Damsgaard (M)","M","066036027425","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","174","Rasmus Ling (MP)","MP","0744139167426","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","175","Gudrun Nordborg (V)","V","0961483563503","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","176","Mikael Damsgaard (M)","M","066036027425","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","177","Gudrun Nordborg (V)","V","0961483563503","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","178","Mikael Damsgaard (M)","M","066036027425","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","179","Gudrun Nordborg (V)","V","0961483563503","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","18","Carita Boulwén (SD)","SD","0371882294919","HB01SoU22","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","180","Torsten Elofsson (KD)","KD","0121015874810","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","181","Martin Melin (L)","L","0576122429317","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","182","Richard Jomshof (SD)","SD","0803753212716","HB01JuU23","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","183","Rasmus Ling (MP)","MP","0744139167426","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","184","Richard Jomshof (SD)","SD","0803753212716","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","185","Rasmus Ling (MP)","MP","0744139167426","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Nationell strategi mot våldsbejakande extremism och terrorism - förebygga, förhindra, skydda och hantera","ärendedebatt","186","Richard Jomshof (SD)","SD","0803753212716","HB01JuU23","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","187","Richard Jomshof (SD)","SD","0803753212716","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","188","Sanna Backeskog (S)","S","0859909330720","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","189","Charlotte Nordström (M)","M","0834510274913","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","19","Karin Rågsjö (V)","V","0246927519019","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","190","Gudrun Nordborg (V)","V","0961483563503","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","191","Torsten Elofsson (KD)","KD","0121015874810","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","192","Ulrika Liljeberg (C)","C","0440673458216","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","193","Martin Melin (L)","L","0576122429317","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Våldsbrott och brottsoffer","ärendedebatt","194","Rasmus Ling (MP)","MP","0744139167426","HB01JuU18","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","195","Patrik Björck (S)","S","0516528386117","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","196","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","197","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","198","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","199","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","2","Mikael Eskilandersson (SD)","SD","0468956880528","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","20","Carita Boulwén (SD)","SD","0371882294919","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","200","Erik Hellsborn (SD)","SD","0362779191527","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","201","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","202","Erik Hellsborn (SD)","SD","0362779191527","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","203","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","204","Erik Hellsborn (SD)","SD","0362779191527","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","205","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","206","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","207","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","208","Patrik Björck (S)","S","0516528386117","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","209","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","21","Karin Rågsjö (V)","V","0246927519019","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","210","Anders Karlsson (C)","C","0249730539015","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","211","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","212","Anders Karlsson (C)","C","0249730539015","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","213","Fredrik Ahlstedt (M)","M","0327372175911","HB01SkU13","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","214","Ilona Szatmári Waldau (V)","V","0229350341619","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","215","Cecilia Engström (KD)","KD","0256404677510","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","216","Anders Karlsson (C)","C","0249730539015","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","217","Patrik Karlson (L)","L","0973350087929","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Punktskatt och tull","ärendedebatt","218","Mats Berglund (MP)","MP","0606863154419","HB01SkU13","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","219","Eleonore Lundkvist (M)","M","0906620634423","HB01SfU12","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","22","Carita Boulwén (SD)","SD","0371882294919","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","220","Isabell Mixter (V)","V","048561486727","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","221","Eleonore Lundkvist (M)","M","0906620634423","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","222","Isabell Mixter (V)","V","048561486727","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","223","Eleonore Lundkvist (M)","M","0906620634423","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","224","Sanne Lennström (S)","S","0506541436524","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","225","Eleonore Lundkvist (M)","M","0906620634423","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","226","Sanne Lennström (S)","S","0506541436524","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","227","Eleonore Lundkvist (M)","M","0906620634423","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","228","Sanne Lennström (S)","S","0506541436524","HB01SfU12","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","229","Camilla Rinaldo Miller (KD)","KD","0302393368216","HB01SfU12","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Förbättrade möjligheter att ändra kön","ärendedebatt","23","Martina Johansson (C)","C","033935884729","HB01SoU22","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","230","Daniel Persson (SD)","SD","0340418158820","HB01SfU12","N"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","231","Sanne Lennström (S)","S","0506541436524","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","232","Daniel Persson (SD)","SD","0340418158820","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","233","Sanne Lennström (S)","S","0506541436524","HB01SfU12","Y"
"HB09100","2023/24","100","2024-04-17 00:00:00","Ekonomisk familjepolitik","ärendedebatt","234","Daniel Persson (SD)","SD","0340418158820","HB01SfU12","Y"
