"HC091","2024/25","1","2024-09-10 00:00:00","Inledning","","1","TALMANNEN","TALMANNEN","0585684563812","","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","2","Joakim Sandell (S)","S","0376395541120","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","20","Kajsa Fredholm (V)","V","0627450126815","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","21","Kjell-Arne Ottosson (KD)","KD","0509415296421","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","22","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","23","Kjell-Arne Ottosson (KD)","KD","0509415296421","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","24","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","25","Kjell-Arne Ottosson (KD)","KD","0509415296421","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","26","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","27","Kjell-Arne Ottosson (KD)","KD","0509415296421","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","28","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","29","Kjell-Arne Ottosson (KD)","KD","0509415296421","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","3","Charlotte Quensel (SD)","SD","0456680171315","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","30","Rickard Nordin (C)","C","0132818093422","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","31","Elin Nilsson (L)","L","011548866929","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","32","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","33","Elin Nilsson (L)","L","011548866929","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","34","Jytte Guteland (S)","S","0229627943828","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","35","Elin Nilsson (L)","L","011548866929","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","36","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","37","Elin Nilsson (L)","L","011548866929","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","38","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","39","Elin Nilsson (L)","L","011548866929","HC01MJU3","Y"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","4","Håkan Svenneling (V)","V","0682989845822","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","40","Elin Söderberg (MP)","MP","0514669448526","HC01MJU3","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Riksrevisionens rapport om statens hantering av markintrång","","41","Roger Hedlund (SD)","SD","0773497241728","","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","5","Martin Ådahl (C)","C","0494843794418","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","6","Hans Eklind (KD)","KD","0494242537816","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","7","Anna Starbrink (L)","L","0314794471216","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","Extra ändringsbudget för 2024 - Ytterligare materiel och ekonomiskt stöd till Ukraina","ärendedebatt","8","Elin Söderberg (MP)","MP","0514669448526","HC01FiU14","N"
"HC0910","2024/25","10","2024-09-25 00:00:00","EU:s nya utsläppshandelssystem för fossila bränslen","ärendedebatt","9","Martin Kinnunen (SD)","SD","0294138886823","HC01MJU3","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","1","Statsrådet Acko Ankarberg Johansson (KD)","KD","0796071663617","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","10","Statsrådet Erik Slottner (KD)","KD","0767167947420","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","11","Kenneth G Forslund (S)","S","0257612529618","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","12","Statsrådet Erik Slottner (KD)","KD","0767167947420","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","13","Kenneth G Forslund (S)","S","0257612529618","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","14","Statsrådet Erik Slottner (KD)","KD","0767167947420","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","15","Energi- och näringsministern Ebba Busch (KD)","KD","0512510717328","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","16","Per-Arne Håkansson (S)","S","0630820052511","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","17","Energi- och näringsministern Ebba Busch (KD)","KD","0512510717328","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","18","Per-Arne Håkansson (S)","S","0630820052511","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","19","Energi- och näringsministern Ebba Busch (KD)","KD","0512510717328","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","2","Lars Isacsson (S)","S","0515213566019","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","20","Per-Arne Håkansson (S)","S","0630820052511","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:553 om initiativ under kooperationens år","interpellationsdebatt","21","Energi- och näringsministern Ebba Busch (KD)","KD","0512510717328","HC10553","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","22","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","23","Johan Büser (S)","S","0877778793323","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","24","Jacob Risberg (MP)","MP","0604604418610","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","25","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","26","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","27","Johan Büser (S)","S","0877778793323","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","28","Jacob Risberg (MP)","MP","0604604418610","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","29","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","3","Statsrådet Acko Ankarberg Johansson (KD)","KD","0796071663617","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","30","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","31","Johan Büser (S)","S","0877778793323","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:530 om Sveriges åtaganden till FN och Internationella domstolen","interpellationsdebatt","32","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10530","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","33","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","34","Johan Büser (S)","S","0877778793323","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","35","Jacob Risberg (MP)","MP","0604604418610","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","36","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","37","Johan Büser (S)","S","0877778793323","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","38","Jacob Risberg (MP)","MP","0604604418610","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","39","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","4","Lars Isacsson (S)","S","0515213566019","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","40","Johan Büser (S)","S","0877778793323","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:531 om en demokratisk utveckling i Syrien och skyddet för minoriteter","interpellationsdebatt","41","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10531","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","42","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","43","Johan Büser (S)","S","0877778793323","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","44","Carina Ödebrink (S)","S","02910042914","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","45","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","46","Johan Büser (S)","S","0877778793323","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","47","Carina Ödebrink (S)","S","02910042914","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","48","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","49","Johan Büser (S)","S","0877778793323","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","5","Statsrådet Acko Ankarberg Johansson (KD)","KD","0796071663617","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:532 om Sveriges stöd för fria och rättssäkra val i Ukraina","interpellationsdebatt","50","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10532","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","51","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","52","Carina Ödebrink (S)","S","02910042914","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","53","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","54","Carina Ödebrink (S)","S","02910042914","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","55","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","56","Carina Ödebrink (S)","S","02910042914","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:533 om tre fängslade ukrainska OSSE-anställda","interpellationsdebatt","57","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10533","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","58","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","59","Johan Büser (S)","S","0877778793323","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","6","Lars Isacsson (S)","S","0515213566019","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","60","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","61","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","62","Johan Büser (S)","S","0877778793323","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","63","Daniel Vencu Velasquez Castro (S)","S","0245113256029","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","64","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","65","Johan Büser (S)","S","0877778793323","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:539 om Budapest Pride","interpellationsdebatt","66","Utrikesministern Maria Malmer Stenergard (M)","M","0572788110724","HC10539","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","67","Justitieministern Gunnar Strömmer (M)","M","0897334717419","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","68","Patrik Björck (S)","S","0516528386117","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","69","Justitieministern Gunnar Strömmer (M)","M","0897334717419","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:556 om åtgärder mot kriminella aktörers närvaro i välfärden","interpellationsdebatt","7","Statsrådet Acko Ankarberg Johansson (KD)","KD","0796071663617","HC10556","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","70","Patrik Björck (S)","S","0516528386117","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","71","Justitieministern Gunnar Strömmer (M)","M","0897334717419","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","72","Patrik Björck (S)","S","0516528386117","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:563 om justitieministerns kännedom om det som föranlett åtal mot en nära medarbetare till statsministern","interpellationsdebatt","73","Justitieministern Gunnar Strömmer (M)","M","0897334717419","HC10563","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","74","Statsrådet Nina Larsson (L)","L","0125036219125","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","75","Marie Olsson (S)","S","010392780417","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","76","Statsrådet Nina Larsson (L)","L","0125036219125","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","77","Marie Olsson (S)","S","010392780417","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","78","Statsrådet Nina Larsson (L)","L","0125036219125","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","79","Marie Olsson (S)","S","010392780417","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","8","Statsrådet Erik Slottner (KD)","KD","0767167947420","HC10583","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:558 om arbetslivskriminalitet och kontroller","interpellationsdebatt","80","Statsrådet Nina Larsson (L)","L","0125036219125","HC10558","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","81","Statsrådet Nina Larsson (L)","L","0125036219125","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","82","Adrian Magnusson (S)","S","0448973586529","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","83","Statsrådet Nina Larsson (L)","L","0125036219125","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","84","Adrian Magnusson (S)","S","0448973586529","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","85","Statsrådet Nina Larsson (L)","L","0125036219125","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","86","Adrian Magnusson (S)","S","0448973586529","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:573 om oskäliga sekretessavtal för anställda","interpellationsdebatt","87","Statsrådet Nina Larsson (L)","L","0125036219125","HC10573","N"
"HC09100","2024/25","100","2025-04-11 00:00:00","Svar på interpellation 2024/25:583 om nedläggning av servicekontoret i Kungälv","interpellationsdebatt","9","Kenneth G Forslund (S)","S","0257612529618","HC10583","N"
"HC09101","2024/25","101","2025-04-15 00:00:00","Debatt med anledning av vårpropositionens avlämnande","","1","Finansministern Elisabeth Svantesson (M)","M","0899112324519","","N"
"HC09101","2024/25","101","2025-04-15 00:00:00","Debatt med anledning av vårpropositionens avlämnande","","10","Mikael Damberg (S)","S","014744660015","","Y"
"HC09101","2024/25","101","2025-04-15 00:00:00","Debatt med anledning av vårpropositionens avlämnande","","11","Finansministern Elisabeth Svantesson (M)","M","0899112324519","","Y"
"HC09101","2024/25","101","2025-04-15 00:00:00","Debatt med anledning av vårpropositionens avlämnande","","12","Mikael Damberg (S)","S","014744660015","","Y"
